date;Angle;Solargis/diffuse_horizontal_irradiation;Solargis/direct_normal_irradiation;Solargis/global_horizontal_irradiation
23/07/2023 00:00;10;0;0;0
23/07/2023 01:00;10;0;0;0
23/07/2023 02:00;10;0;0;0
23/07/2023 03:00;10;0;0;0
23/07/2023 04:00;10;0;0;0
23/07/2023 05:00;-80.1315804600093;0;0;0
23/07/2023 06:00;-65.7116567408619;5;11;5
23/07/2023 07:00;-56.0059497144528;60;219;99
23/07/2023 08:00;-47.9996736636709;113;443;265
23/07/2023 09:00;-40.4424402996983;151;570;442
23/07/2023 10:00;-32.605637449694;176;654;610
23/07/2023 11:00;-23.8981331182801;188;714;750
23/07/2023 12:00;-13.7287462738154;221;706;838
23/07/2023 13:00;-1.51440757101773;195;769;900
23/07/2023 14:00;13.0908525397634;190;773;896
23/07/2023 15:00;29.6965565210153;189;751;837
23/07/2023 16:00;46.8612792654195;182;712;731
23/07/2023 17:00;62.7768862467565;169;645;584
23/07/2023 18:00;76.4122142917916;144;551;412
23/07/2023 19:00;85;103;417;235
23/07/2023 20:00;10;47;187;76
23/07/2023 21:00;10;1;3;1
23/07/2023 22:00;10;0;0;0
23/07/2023 23:00;10;0;0;0
24/07/2023 00:00;10;0;0;0
24/07/2023 01:00;10;0;0;0
24/07/2023 02:00;10;0;0;0
24/07/2023 03:00;10;0;0;0
24/07/2023 04:00;10;0;0;0
24/07/2023 05:00;-80.5072551176128;0;0;0
24/07/2023 06:00;-66.0032822627113;3;0;3
24/07/2023 07:00;-56.2437470749525;55;37;63
24/07/2023 08:00;-48.2048621159345;139;211;213
24/07/2023 09:00;-40.6275074799682;176;460;414
24/07/2023 10:00;-32.7776528569553;242;478;555
24/07/2023 11:00;-24.0599353559846;222;652;735
24/07/2023 12:00;-13.8782641517703;206;734;846
24/07/2023 13:00;-1.64251635092138;237;706;883
24/07/2023 14:00;13.0016927876384;354;297;626
24/07/2023 15:00;29.6664582647198;274;27;298
24/07/2023 16:00;46.8976428790324;329;199;479
24/07/2023 17:00;62.8673637917607;269;343;488
24/07/2023 18:00;76.5369353547775;207;276;337
24/07/2023 19:00;85;107;372;225
24/07/2023 20:00;10;48;80;60
24/07/2023 21:00;10;1;1;1
24/07/2023 22:00;10;0;0;0
24/07/2023 23:00;10;0;0;0
25/07/2023 00:00;10;0;0;0
25/07/2023 01:00;10;0;0;0
25/07/2023 02:00;10;0;0;0
25/07/2023 03:00;10;0;0;0
25/07/2023 04:00;10;0;0;0
25/07/2023 05:00;-80.8874081481445;0;0;0
25/07/2023 06:00;-66.3001560941547;4;24;5
25/07/2023 07:00;-56.4863308951655;47;348;105
25/07/2023 08:00;-48.4143277246638;92;526;269
25/07/2023 09:00;-40.8164383922163;136;599;439
25/07/2023 10:00;-32.9531838798951;183;628;598
25/07/2023 11:00;-24.2248893940583;156;768;757
25/07/2023 12:00;-14.0304160813887;177;774;850
25/07/2023 13:00;-1.77236035483413;179;791;901
25/07/2023 14:00;12.9123493341336;156;826;907
25/07/2023 15:00;29.6383778422799;292;386;629
25/07/2023 16:00;46.9382146529002;287;79;348
25/07/2023 17:00;62.9634342496338;241;239;385
25/07/2023 18:00;76.6677598698657;206;239;323
25/07/2023 19:00;85;112;169;164
25/07/2023 20:00;10;43;116;63
25/07/2023 21:00;10;1;0;1
25/07/2023 22:00;10;0;0;0
25/07/2023 23:00;10;0;0;0
26/07/2023 00:00;10;0;0;0
26/07/2023 01:00;10;0;0;0
26/07/2023 02:00;10;0;0;0
26/07/2023 03:00;10;0;0;0
26/07/2023 04:00;10;0;0;0
26/07/2023 05:00;-81.2715825455712;0;0;0
26/07/2023 06:00;-66.6020202893477;3;25;5
26/07/2023 07:00;-56.7335343556261;39;405;107
26/07/2023 08:00;-48.6279492505934;69;642;282
26/07/2023 09:00;-41.0091381957542;89;749;467
26/07/2023 10:00;-33.132153396195;102;815;638
26/07/2023 11:00;-24.3929318569174;107;860;779
26/07/2023 12:00;-14.1851500932657;105;895;882
26/07/2023 13:00;-1.9038945841308;106;906;932
26/07/2023 14:00;12.8228712852442;104;907;927
26/07/2023 15:00;29.6123815325297;104;891;868
26/07/2023 16:00;46.9830719140407;101;862;761
26/07/2023 17:00;63.0651607645582;97;806;611
26/07/2023 18:00;76.8047213338797;82;744;439
26/07/2023 19:00;85;60;639;256
26/07/2023 20:00;10;30;378;85
26/07/2023 21:00;10;1;7;1
26/07/2023 22:00;10;0;0;0
26/07/2023 23:00;10;0;0;0
27/07/2023 00:00;10;0;0;0
27/07/2023 01:00;10;0;0;0
27/07/2023 02:00;10;0;0;0
27/07/2023 03:00;10;0;0;0
27/07/2023 04:00;10;0;0;0
27/07/2023 05:00;-81.6593234467142;0;0;0
27/07/2023 06:00;-66.9086145833412;3;19;4
27/07/2023 07:00;-56.9851888279589;40;395;104
27/07/2023 08:00;-48.8456043943207;73;614;277
27/07/2023 09:00;-41.2055116119165;98;715;457
27/07/2023 10:00;-33.3144843937755;113;782;626
27/07/2023 11:00;-24.5640000208183;118;833;768
27/07/2023 12:00;-14.3424154220912;116;869;869
27/07/2023 13:00;-2.03707568104957;116;881;919
27/07/2023 14:00;12.7333061549537;115;882;915
27/07/2023 15:00;29.5885347197637;116;862;855
27/07/2023 16:00;47.032291476238;155;745;727
27/07/2023 17:00;63.1726053190141;162;646;568
27/07/2023 18:00;76.9478512058664;145;362;331
27/07/2023 19:00;85;73;28;80
27/07/2023 20:00;10;24;27;28
27/07/2023 21:00;10;1;1;1
27/07/2023 22:00;10;0;0;0
27/07/2023 23:00;10;0;0;0
28/07/2023 00:00;10;0;0;0
28/07/2023 01:00;10;0;0;0
28/07/2023 02:00;10;0;0;0
28/07/2023 03:00;10;0;0;0
28/07/2023 04:00;10;0;0;0
28/07/2023 05:00;-82.0501795083467;0;0;0
28/07/2023 06:00;-67.2196769505233;5;0;5
28/07/2023 07:00;-57.241124153923;45;315;96
28/07/2023 08:00;-49.0671699672934;88;537;265
28/07/2023 09:00;-41.4054630436475;118;654;445
28/07/2023 10:00;-33.5001000623556;135;731;614
28/07/2023 11:00;-24.7380318903298;137;797;757
28/07/2023 12:00;-14.5021625785511;138;833;859
28/07/2023 13:00;-2.17186200436847;140;845;909
28/07/2023 14:00;12.6436997906279;139;843;902
28/07/2023 15:00;29.5669018372927;144;814;841
28/07/2023 16:00;47.0859495823613;253;213;422
28/07/2023 17:00;63.2858286469749;201;457;482
28/07/2023 18:00;77.0971788141662;155;500;387
28/07/2023 19:00;85;82;498;233
28/07/2023 20:00;10;37;248;73
28/07/2023 21:00;10;2;0;2
28/07/2023 22:00;10;0;0;0
28/07/2023 23:00;10;0;0;0
29/07/2023 00:00;10;0;0;0
29/07/2023 01:00;10;0;0;0
29/07/2023 02:00;10;0;0;0
29/07/2023 03:00;10;0;0;0
29/07/2023 04:00;10;0;0;0
29/07/2023 05:00;-82.4437042591204;0;0;0
29/07/2023 06:00;-67.5349441736385;4;0;4
29/07/2023 07:00;-57.5011689314869;53;211;88
29/07/2023 08:00;-49.2925220664215;112;409;246
29/07/2023 09:00;-41.6088966967251;188;404;388
29/07/2023 10:00;-33.6889238855272;182;624;590
29/07/2023 11:00;-24.9149662748209;188;705;735
29/07/2023 12:00;-14.6643434213825;224;691;820
29/07/2023 13:00;-2.3082137060973;226;712;871
29/07/2023 14:00;12.5540962964774;198;755;880
29/07/2023 15:00;29.5475463091983;177;765;830
29/07/2023 16:00;47.1441218444156;174;718;720
29/07/2023 17:00;63.4048901441112;189;579;557
29/07/2023 18:00;77.2527312616502;146;524;394
29/07/2023 19:00;85;99;404;221
29/07/2023 20:00;10;39;203;69
29/07/2023 21:00;10;2;0;2
29/07/2023 22:00;10;0;0;0
29/07/2023 23:00;10;0;0;0
30/07/2023 00:00;10;0;0;0
30/07/2023 01:00;10;0;0;0
30/07/2023 02:00;10;0;0;0
30/07/2023 03:00;10;0;0;0
30/07/2023 04:00;10;0;0;0
30/07/2023 05:00;-82.839457416675;0;0;0
30/07/2023 06:00;-67.8541524205009;2;0;2
30/07/2023 07:00;-57.7651508068422;53;120;74
30/07/2023 08:00;-49.5215362517525;116;237;189
30/07/2023 09:00;-41.8157167022582;200;66;230
30/07/2023 10:00;-33.88087973308;233;21;246
30/07/2023 11:00;-25.0947428647372;273;12;283
30/07/2023 12:00;-14.8289112293901;319;74;384
30/07/2023 13:00;-2.44609280904206;418;209;607
30/07/2023 14:00;12.4645379551615;398;253;627
30/07/2023 15:00;29.5305304903392;382;116;481
30/07/2023 16:00;47.2068831813446;286;30;310
30/07/2023 17:00;63.5298477750472;219;17;229
30/07/2023 18:00;77.4145333292845;195;41;215
30/07/2023 19:00;85;115;40;128
30/07/2023 20:00;10;38;44;45
30/07/2023 21:00;10;1;0;1
