Date,Heure,Type_date,Temoin_PAR,Temoin_PAR_DHI,Temoin_GHI,Interrang_GHI,Intermediaire_GHI,Panneaux_GHI,,,
7/14/2023,0:00,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,0:15,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,0:30,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,0:45,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,1:00,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,1:15,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,1:30,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,1:45,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,2:00,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,2:15,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,2:30,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,2:45,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,3:00,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,3:15,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,3:30,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,3:45,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,4:00,clear,0,0,0.0,0.0,0.0,0.0,,,
7/14/2023,4:15,clear,0,0.1,0.1,0.1,0.1,0.0,,,
7/14/2023,4:30,clear,7.8,6.7,3.1,2.7,2.2,0.9,,,
7/14/2023,4:45,clear,24.1,22.7,9.7,8.8,6.6,10.3,,,
7/14/2023,5:00,clear,44.1,42,16.7,20.1,11.7,70.9,,,
7/14/2023,5:15,clear,88.4,64,22.9,63.4,36.8,107.7,,,
7/14/2023,5:30,clear,185.4,91.9,43.8,96.2,116.6,140.2,,,
7/14/2023,5:45,clear,263.6,115.9,171.4,153.7,154.4,73.5,,,
7/14/2023,6:00,clear,326.7,130.2,183.3,130.7,167.0,36.8,,,
7/14/2023,6:15,clear,610.5,145.2,229.4,156.2,197.9,43.5,,,
7/14/2023,6:30,clear,466.9,148.2,253.6,242.2,118.4,40.5,,,
7/14/2023,6:45,clear,604.8,166.2,256.0,254.7,241.1,32.1,,,
7/14/2023,7:00,clear,732.7,200.8,312.7,291.5,294.9,34.8,,,
7/14/2023,7:15,clear,730.5,207.4,356.9,331.7,89.1,33.1,,,
7/14/2023,7:30,clear,794,233.8,392.3,381.4,275.4,32.7,,,
7/14/2023,7:45,clear,926.7,221.3,431.8,422.5,411.5,32.8,,,
7/14/2023,8:00,clear,962,233.8,470.6,461.7,334.2,33.1,,,
7/14/2023,8:15,clear,1120.5,249.3,504.7,524.4,69.5,35.5,,,
7/14/2023,8:30,clear,1221.4,236,552.9,529.9,64.1,37.0,,,
7/14/2023,8:45,clear,1298,233.3,648.9,604.7,62.9,37.9,,,
7/14/2023,9:00,clear,1404.8,203.8,676.1,674.9,50.7,37.9,,,
7/14/2023,9:15,clear,1469.8,200.6,723.3,712.2,46.6,38.0,,,
7/14/2023,9:30,clear,1541.6,193.7,758.5,748.5,43.7,38.8,,,
7/14/2023,9:45,clear,1619.5,194,790.8,779.9,43.0,39.3,,,
7/14/2023,10:00,clear,1674.1,196.3,820.0,810.1,42.9,39.0,,,
7/14/2023,10:15,clear,1737.9,198.6,847.9,839.6,42.0,38.5,,,
7/14/2023,10:30,clear,1794.7,204.3,870.8,864.2,42.0,37.6,,,
7/14/2023,10:45,clear,1838.9,210.2,891.8,888.7,41.7,36.4,,,
7/14/2023,11:00,clear,1871.3,211.9,909.1,909.9,41.0,35.3,,,
7/14/2023,11:15,clear,1904.5,213.9,922.6,925.5,41.0,34.1,,,
7/14/2023,11:30,clear,1927.8,218.5,933.9,937.0,40.9,32.7,,,
7/14/2023,11:45,clear,1931,218.2,937.9,945.8,40.0,31.4,,,
7/14/2023,12:00,clear,1916.5,203.8,848.5,880.7,40.2,30.1,,,
7/14/2023,12:15,clear,1890.1,203.5,847.3,898.4,40.8,30.0,,,
7/14/2023,12:30,clear,1899.2,203,930.1,942.3,41.0,30.0,,,
7/14/2023,12:45,clear,1897.7,206.6,935.5,939.0,41.7,30.0,,,
7/14/2023,13:00,clear,1895.9,213.6,921.5,905.8,42.1,30.0,,,
7/14/2023,13:15,clear,1855.1,213.9,871.1,849.8,43.0,30.0,,,
7/14/2023,13:30,clear,1831.7,213.5,823.3,781.2,43.3,30.0,,,
