date;Ray_PAR_APV_1;Ray_PAR_Diffus_Control;Ray_PAR_Control;Tracking_angles_alpha;Tracking_mode;Type_day
01/10/2023 00:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 00:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 00:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 00:30;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 00:40;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 00:50;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:30;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:40;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 01:50;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:30;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:40;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 02:50;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:30;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:40;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 03:50;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:30;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:40;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 04:50;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 05:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 05:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 05:20;0.2;0.2;0.2;0;FLAT;100_Clear_Ref
01/10/2023 05:30;1.2;2.3;2.3;0;FLAT;100_Clear_Ref
01/10/2023 05:40;4.4;7.9;7.9;0;FLAT;100_Clear_Ref
01/10/2023 05:50;10.4;18.8;18.8;0;FLAT;100_Clear_Ref
01/10/2023 06:00;19;34;34;0;FLAT;100_Clear_Ref
01/10/2023 06:10;32.9;56.2;58.5;0;FLAT;100_Clear_Ref
01/10/2023 06:20;45.2;75.6;102.1;0;FLAT;100_Clear_Ref
01/10/2023 06:30;72.7;91.5;139.6;0;FLAT;100_Clear_Ref
01/10/2023 06:40;153.3;107.5;189.6;0;FLAT;100_Clear_Ref
01/10/2023 06:50;196.2;120.2;235;0;FLAT;100_Clear_Ref
01/10/2023 07:00;241.2;130.6;282.1;0;FLAT;100_Clear_Ref
01/10/2023 07:10;286.5;139.8;331;0;FLAT;100_Clear_Ref
01/10/2023 07:20;333.5;147.5;381;0;FLAT;100_Clear_Ref
01/10/2023 07:30;376.5;152.5;429.6;0;FLAT;100_Clear_Ref
01/10/2023 07:40;120.6;147.9;300.2;0;FLAT;100_Clear_Ref
01/10/2023 07:50;94.2;157.9;502.3;0;FLAT;100_Clear_Ref
01/10/2023 08:00;96.7;158.5;580.6;0;FLAT;100_Clear_Ref
01/10/2023 08:10;98.3;159;632.7;0;FLAT;100_Clear_Ref
01/10/2023 08:20;100.6;160.4;681.2;0;FLAT;100_Clear_Ref
01/10/2023 08:30;103.1;162.9;728.8;0;FLAT;100_Clear_Ref
01/10/2023 08:40;104.8;165.6;769.2;0;FLAT;100_Clear_Ref
01/10/2023 08:50;106.2;168.3;813.5;0;FLAT;100_Clear_Ref
01/10/2023 09:00;108.3;171.5;858.8;0;FLAT;100_Clear_Ref
01/10/2023 09:10;617.1;175.6;901.5;0;FLAT;100_Clear_Ref
01/10/2023 09:20;834.8;181.2;917.7;0;FLAT;100_Clear_Ref
01/10/2023 09:30;868.1;187.9;969.6;0;FLAT;100_Clear_Ref
01/10/2023 09:40;900;198.3;1013.8;0;FLAT;100_Clear_Ref
01/10/2023 09:50;926.7;216.5;1048.1;0;FLAT;100_Clear_Ref
01/10/2023 10:00;932.5;246.3;1065.8;0;FLAT;100_Clear_Ref
01/10/2023 10:10;930.8;251.2;1064.8;0;FLAT;100_Clear_Ref
01/10/2023 10:20;958.5;267.5;1111.9;0;FLAT;100_Clear_Ref
01/10/2023 10:30;904.8;270.8;1066.2;0;FLAT;100_Clear_Ref
01/10/2023 10:40;896.2;286;1095.6;0;FLAT;100_Clear_Ref
01/10/2023 10:50;1002.3;287.3;1182.3;0;FLAT;100_Clear_Ref
01/10/2023 11:00;1008.8;271;1179.4;0;FLAT;100_Clear_Ref
01/10/2023 11:10;410;268.5;1188.1;0;FLAT;100_Clear_Ref
01/10/2023 11:20;127.3;275.6;1186.5;0;FLAT;100_Clear_Ref
01/10/2023 11:30;121.5;258.8;1160.6;0;FLAT;100_Clear_Ref
01/10/2023 11:40;121.7;249.4;1170.4;0;FLAT;100_Clear_Ref
01/10/2023 11:50;126.3;248.1;1209;0;FLAT;100_Clear_Ref
01/10/2023 12:00;134.4;267.7;1215.8;0;FLAT;100_Clear_Ref
01/10/2023 12:10;132.1;257.5;1227.5;0;FLAT;100_Clear_Ref
01/10/2023 12:20;120.6;234.2;1233.3;0;FLAT;100_Clear_Ref
01/10/2023 12:30;109;214.6;1230;0;FLAT;100_Clear_Ref
01/10/2023 12:40;447.1;215.2;1218.1;0;FLAT;100_Clear_Ref
01/10/2023 12:50;117.7;235.6;1166.2;0;FLAT;100_Clear_Ref
01/10/2023 13:00;117.7;235.8;1141;0;FLAT;100_Clear_Ref
01/10/2023 13:10;111.5;220.4;1055.4;0;FLAT;100_Clear_Ref
01/10/2023 13:20;106.5;241.9;1121.3;0;FLAT;100_Clear_Ref
01/10/2023 13:30;105.2;246.9;1097.7;0;FLAT;100_Clear_Ref
01/10/2023 13:40;101;238.3;1062.1;0;FLAT;100_Clear_Ref
01/10/2023 13:50;99.6;227.7;936.5;0;FLAT;100_Clear_Ref
01/10/2023 14:00;102.7;233.8;997.7;0;FLAT;100_Clear_Ref
01/10/2023 14:10;96.7;209;958.5;0;FLAT;100_Clear_Ref
01/10/2023 14:20;102.7;202.5;921;0;FLAT;100_Clear_Ref
01/10/2023 14:30;483.8;198.1;880;0;FLAT;100_Clear_Ref
01/10/2023 14:40;598.5;193.5;832.5;0;FLAT;100_Clear_Ref
01/10/2023 14:50;100.2;194;789.6;0;FLAT;100_Clear_Ref
01/10/2023 15:00;87.3;193.8;729;0;FLAT;100_Clear_Ref
01/10/2023 15:10;86.5;195.8;601.7;0;FLAT;100_Clear_Ref
01/10/2023 15:20;95.4;197.7;566.2;0;FLAT;100_Clear_Ref
01/10/2023 15:30;90.8;183.3;412.7;0;FLAT;100_Clear_Ref
01/10/2023 15:40;86.5;172.5;281;0;FLAT;100_Clear_Ref
01/10/2023 15:50;88.3;172.5;302.1;0;FLAT;100_Clear_Ref
01/10/2023 16:00;100.2;174.8;273.5;0;FLAT;100_Clear_Ref
01/10/2023 16:10;155.4;174.8;292.5;0;FLAT;100_Clear_Ref
01/10/2023 16:20;131.9;156.5;247.5;0;FLAT;100_Clear_Ref
01/10/2023 16:30;81.5;128.8;164.4;0;FLAT;100_Clear_Ref
01/10/2023 16:40;61.2;99.4;121.5;0;FLAT;100_Clear_Ref
01/10/2023 16:50;36.2;61.5;72.9;0;FLAT;100_Clear_Ref
01/10/2023 17:00;20.8;37.5;42.7;0;FLAT;100_Clear_Ref
01/10/2023 17:10;11.3;20.6;22.3;0;FLAT;100_Clear_Ref
01/10/2023 17:20;5;9.4;9.8;0;FLAT;100_Clear_Ref
01/10/2023 17:30;2.1;4;4;0;FLAT;100_Clear_Ref
01/10/2023 17:40;0.6;1;1;0;FLAT;100_Clear_Ref
01/10/2023 17:50;0;0.2;0.2;0;FLAT;100_Clear_Ref
01/10/2023 18:00;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 18:10;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 18:20;0;0;0;0;FLAT;100_Clear_Ref
01/10/2023 18:30;0;0;0;0;FLAT;100_Clear_Ref
