Time Global
13695299 1841
13695599 771.9
13695899 1943
13696199 1941
13696499 2011
13696799 661
13697099 2144
13697399 784.5
13697699 1941
13697999 1865
13698299 2031
13698599 1778
13698899 1889
13699199 2079
13699499 1759
13699799 1359
13700099 1917
13700399 1719
13700699 993
13700999 1937
13701299 1039
13701599 1836
13701899 2153
13702199 1957
13702499 530.5
13702799 2080
13703099 2056
13703399 2030
13703699 1711
13703999 1929
13704299 1955
13704599 2027
13704899 1584
13705199 2035
13705499 1599
13705799 1088
13706099 2132
13706399 516.9
13706699 2039
13706999 1371
13707299 606.2
13707599 1176
13707899 1910
13708199 2147
13708499 1941
13708799 1867
13709099 1821
13709399 1583
13709699 1781
13709999 1814
13710299 1655
13710599 1644
13710899 1540
13711199 1498
13711499 384.5
13711799 1469
13712099 1535
13712399 1537
13712699 1235
13712999 854
13713299 561.1
13713599 541.2
13713899 492.7
13714199 553.4
13714499 666.3
13714799 1328
13715099 1196
13715399 945
13715699 1085
13715999 810
13716299 851
13716599 855
13716899 924
13717199 832
13717499 929
13717799 529.2
13718099 528.2
13718399 504.3
13718699 584.7
13718999 518.6
13719299 680.6
13719599 926
13719899 616.9
13720199 653.4
13720499 366.2
13720799 409.4
13721099 348.9
13721399 321.7
13721699 251.7
13721999 227.4
13722299 239.7
13722599 226.8
13722899 201.9
13723199 175.3
13723499 162
13723799 140.4
13724099 132.2
13724399 141.5
13724699 130.2
13724999 118.2
13725299 85.3
13725599 65.42
13725899 44.5
13726199 38.19
13726499 27.9
13726799 20.92
13727099 16.61
13727399 12.29
13727699 8.64
13727999 5.979
13728299 3.654
13728599 2.325
13728899 1.329
13729199 0.664
13729499 0.332
13729799 0
13730099 0
13730399 0
13730699 0
13730999 0
13731299 0
13731599 0
13731899 0
13732199 0
13732499 0
13732799 0
13733099 0
13733399 0
13733699 0
13733999 0
13734299 0
13734599 0
13734899 0
13735199 0
13735499 0
13735799 0
13736099 0
13736399 0
13736699 0
13736999 0
13737299 0
13737599 0
13737899 0
13738199 0
13738499 0
13738799 0
13739099 0
13739399 0
13739699 0
13739999 0
13740299 0
13740599 0
13740899 0
13741199 0
13741499 0
13741799 0
13742099 0
13742399 0
13742699 0
13742999 0
13743299 0
13743599 0
13743899 0
13744199 0
13744499 0
13744799 0
13745099 0
13745399 0
13745699 0
13745999 0
13746299 0
13746599 0
13746899 0
13747199 0
13747499 0
13747799 0
13748099 0
13748399 0
13748699 0
13748999 0
13749299 0
13749599 0
13749899 0
13750199 0
13750499 0
13750799 0
13751099 0
13751399 0
13751699 0
13751999 0
13752299 0
13752599 0
13752899 0
13753199 0
13753499 0
13753799 0
13754099 0
13754399 0
13754699 0
13754999 0
13755299 0
13755599 0
13755899 0
13756199 0
13756499 0
13756799 0
13757099 0
13757399 0
13757699 0
13757999 0
13758299 0.332
13758599 0.665
13758899 1.329
13759199 1.662
13759499 3.323
13759799 4.32
13760099 5.317
13760399 7.975
13760699 11.96
13760999 16.62
13761299 21.6
13761599 27.58
13761899 33.56
13762199 49.18
13762499 55.49
13762799 70.45
13763099 70.78
13763399 72.11
13763699 86.1
13763999 88.4
13764299 92
13764599 107.3
13764899 128.6
13765199 129.6
13765499 137.6
13765799 151.9
13766099 155.2
13766399 148.5
13766699 136.6
13766999 139.9
13767299 135.2
13767599 142.6
13767899 150.9
13768199 175.8
13768499 191.4
13768799 189.7
13769099 180.8
13769399 157.2
13769699 126.9
13769999 123.6
13770299 193.4
13770599 230.3
13770899 174.4
13771199 186.1
13771499 263.8
13771799 181.7
13772099 144.5
13772399 217.6
13772699 295.7
13772999 287.4
13773299 317.9
13773599 289
13773899 297.7
13774199 315.3
13774499 419.9
13774799 626.2
13775099 531.2
13775399 319.6
13775699 209.9
13775999 238.5
13776299 220.6
13776599 238.8
13776899 261.1
13777199 295.6
13777499 579.3
13777799 723.1
13778099 750.7
13778399 905
13778699 726.1
13778999 687.9
13779299 557.7
13779599 548.7
13779899 543.1
13780199 518.2
13780499 549.1
13780799 533.8
13781099 482.3
13781399 558.4
13781699 765.3
13781999 677.9
13782299 564
13782599 531.5
13782899 420.2
13783199 399.6
13783499 333.8
13783799 329.2
13784099 353.1
13784399 427.2
13784699 451.4
13784999 473.3
13785299 460.7
13785599 480.3
13785899 492.9
13786199 457.4
13786499 485.3
13786799 665
13787099 710.2
13787399 835
13787699 748
13787999 598.5
13788299 649
13788599 924
13788899 936
13789199 735.1
13789499 717.1
13789799 668.3
13790099 624.4
13790399 589.2
13790699 614.4
13790999 614.1
13791299 748.3
13791599 538.4
13791899 537.4
13792199 691.1
13792499 1463
13792799 1568
13793099 987
13793399 791.7
13793699 763.5
13793999 731.3
13794299 727.9
13794599 740.5
13794899 630.6
13795199 594.7
13795499 560.9
13795799 450
13796099 390.5
13796399 388.5
13796699 466.2
13796999 647.5
13797299 646.9
13797599 618.4
13797899 533.7
13798199 353
13798499 260.4
13798799 199.3
13799099 236.1
13799399 260.4
13799699 263
13799999 344.4
13800299 281
13800599 282
13800899 199.3
13801199 159.8
13801499 99.3
13801799 117.2
13802099 113.6
13802399 122.6
13802699 133.5
13802999 129.2
13803299 97
13803599 85
13803899 76.06
13804199 77.72
13804499 74.4
13804799 83.4
13805099 96
13805399 112.9
13805699 177.7
13805999 251.8
13806299 276.4
13806599 178.4
13806899 129.2
13807199 116.6
13807499 121.2
13807799 118.6
13808099 92.3
13808399 60.12
13808699 44.18
13808999 26.57
13809299 18.27
13809599 18.6
13809899 23.58
13810199 25.24
13810499 27.9
13810799 32.88
13811099 40.86
13811399 46.17
13811699 40.52
13811999 37.53
13812299 35.87
13812599 37.87
13812899 33.88
13813199 27.24
13813499 19.27
13813799 12.95
13814099 7.64
13814399 4.983
13814699 2.99
13814999 1.329
13815299 0.664
13815599 0.664
13815899 0
13816199 0
13816499 0
13816799 0
13817099 0
13817399 0
13817699 0
13817999 0
13818299 0
13818599 0
13818899 0
13819199 0
13819499 0
13819799 0
13820099 0
13820399 0
13820699 0
13820999 0
13821299 0
13821599 0
13821899 0
13822199 0
13822499 0
13822799 0
13823099 0
13823399 0
13823699 0
13823999 0
13824299 0
13824599 0
13824899 0
13825199 0
13825499 0
13825799 0
13826099 0
13826399 0
13826699 0
13826999 0
13827299 0
13827599 0
13827899 0
13828199 0
13828499 0
13828799 0
13829099 0
13829399 0
13829699 0
13829999 0
13830299 0
13830599 0
13830899 0
13831199 0
13831499 0
13831799 0
13832099 0
13832399 0
13832699 0
13832999 0
13833299 0
13833599 0
13833899 0
13834199 0
13834499 0
13834799 0
13835099 0
13835399 0
13835699 0
13835999 0
13836299 0
13836599 0
13836899 0
13837199 0
13837499 0
13837799 0
13838099 0
13838399 0
13838699 0
13838999 0
13839299 0
13839599 0
13839899 0
13840199 0
13840499 0
13840799 0
13841099 0
13841399 0
13841699 0
13841999 0
13842299 0
13842599 0
13842899 0
13843199 0
13843499 0
13843799 0
13844099 0
13844399 0
13844699 0.665
13844999 1.329
13845299 1.329
13845599 1.662
13845899 2.991
13846199 4.32
13846499 5.981
13846799 7.643
13847099 8.97
13847399 10.3
13847699 12.3
13847999 16.95
13848299 25.59
13848599 30.9
13848899 36.22
13849199 46.19
13849499 57.49
13849799 75.43
13850099 78.09
13850399 72.78
13850699 82.1
13850999 105.3
13851299 188.1
13851599 328
13851899 317
13852199 392.8
13852499 403.8
13852799 332
13853099 538.3
13853399 353.9
13853699 301.1
13853999 295.7
13854299 283.1
13854599 358.5
13854899 405.1
13855199 408.7
13855499 619.4
13855799 636.3
13856099 532.7
13856399 951
13856699 973
13856999 1002
13857299 1029
13857599 1047
13857899 1060
13858199 1116
13858499 1155
13858799 1182
13859099 1206
13859399 1257
13859699 1314
13859999 1366
13860299 1432
13860599 1487
13860899 1506
13861199 1601
13861499 1595
13861799 1647
13862099 1751
13862399 1763
13862699 1629
13862999 364.2
13863299 534.2
13863599 1776
13863899 1745
13864199 1781
13864499 1806
13864799 1988
13865099 1832
13865399 1771
13865699 1784
13865999 1976
13866299 1923
13866599 1268
13866899 711.5
13867199 1962
13867499 1958
13867799 1851
13868099 1962
13868399 2076
13868699 2082
13868999 2152
13869299 2196
13869599 612.5
13869899 1374
13870199 2162
13870499 2127
