Mod,Rep,Group,Sample,Date,nb_panicles,DM_grain,DM_rachis,DM_plein,DM_vides,nb_TKW,TKW,150_empty,av_DM_empty,nb_empty,av_DM_filled,nb_filled ,rate_filled,nb_spikelets (0.25m2),SPP,DM_Yield,Yield,Yield_tha
PV,1,1,4,10/10/2023,596,156.06,20.4,7.5562,0.8456,1000,19.0607,0.5072,0.003381333,400.078889,0.0190607,1396.428253,0.77730181,1796.507142,89.8253571,182.6769,212.415,8.4966
PV,1,2,4,10/10/2023,640,165.42,18.91,0.9749,0.7201,1000,19.923,0.7056,0.004704,303.082483,0.019923,1048.933394,0.775829198,1352.015877,67.60079385,186.3179,216.6487209,8.665948836
PV,1,3,4,10/10/2023,460,96.6,14.61,0,1.8251,872,18.5125,0.5737,0.003824667,627.1918706,0.0185125,872,0.581646697,1499.191871,74.95959355,112.7429,131.0963953,5.243855812
PV,1,4,4,10/10/2023,556,43.35,13.13,0,2.3902,847,17.2171,0.5177,0.003451333,842.5440113,0.0172171,847,0.501318696,1689.544011,84.47720055,57.9328837,67.36381826,2.69455273
T0,1,T0,4,10/10/2023,652,134.14,12.97,3.0291,0.5365,1000,20.6534,0.6658,0.004438667,270.8696214,0.0206534,1146.663503,0.808914785,1417.533124,70.8766562,157.8225,183.5145349,7.340581396
PV,2,1,4,10/10/2023,560,120.7,17.58,5.2425,0.4878,1000,18.7598,0.5364,0.003576,286.409396,0.0187598,1279.453939,0.817091703,1565.863335,78.29316675,144.7023,168.2584884,6.730339536
PV,2,2,4,10/10/2023,672,132.4,18.14,0,1.9901,972,18.6597,0.5537,0.003691333,689.1277352,0.0186597,972,0.585144646,1661.127735,83.05638675,150.5372284,175.0432888,7.001731552
PV,2,3,4,10/10/2023,616,114.69,15.61,7.9973,0.2396,1000,17.8572,0.4003,0.002668667,239.7826518,0.0178572,1447.847367,0.857917524,1687.630019,84.38150095,140.5445,163.4238372,6.536953488
PV,2,4,4,10/10/2023,844,137.59,25.06,0.9122,1.4021,1000,16.6686,0.4525,0.003016667,614.784479,0.0166686,1054.725652,0.631757563,1669.510131,83.47550655,155.1708,180.4311628,7.217246512
T0,2,T0,4,10/10/2023,792,113.6,20.02,0,1.6564,1005,17.7013,0.4769,0.003179333,670.9897799,0.0177013,1005,0.599645661,1675.98978,83.799489,131.3898065,152.7788448,6.111153792
PV,3,1,4,10/10/2023,504,115.57,14.18,3.002,0.8525,1000,19.9428,0.6757,0.004504667,339.2481731,0.0199428,1150.530517,0.77228284,1489.77869,74.4889345,138.5148,161.0637209,6.442548836
PV,3,2,4,10/10/2023,364,75.43,7.68,5.1161,0.4473,1000,18.9127,0.5168,0.003445333,279.8277989,0.0189127,1270.51135,0.819505429,1550.339149,77.51695745,99.4588,115.6497674,4.625990696
PV,3,3,4,10/10/2023,484,87.08,8.74,0,1.3489,1007,17.9543,0.6206,0.004137333,476.0312863,0.0179543,1007,0.67901467,1483.031286,74.1515643,105.1599801,122.2790466,4.891161864
PV,3,4,4,10/10/2023,320,72.04,9.35,8.5737,0.4649,1000,20.3342,0.657,0.00438,256.1415525,0.0203342,1421.639406,0.847333139,1677.780959,83.88904795,100.9479,117.3812791,4.695251164
T0,3,T0,4,10/10/2023,1064,189.91,23.57,0,0.3905,941,18.2762,0.5455,0.003636667,257.3785419,0.0182762,941,0.785227678,1198.378542,59.9189271,207.1079042,240.8231444,9.632925776
PV,4,1,4,10/10/2023,460,125.95,12.62,2.1106,0.7971,1000,20.1557,0.6031,0.004020667,348.2506883,0.0201557,1104.714795,0.760317301,1452.965483,72.64827415,148.2163,172.3445349,6.893781396
PV,4,2,4,10/10/2023,656,148.69,17.71,4.2804,1.6214,1000,20.3427,0.5219,0.003479333,616.0088586,0.0203427,1210.414547,0.662723957,1826.423406,91.3211703,173.3131,201.5268605,8.06107442
PV,4,3,4,10/10/2023,792,145.55,17.28,0,0.2973,911,19.551,0.7475,0.004983333,209.6588669,0.019551,911,0.812914641,1120.658867,56.03294335,163.360961,189.9546058,7.598184232
PV,4,4,4,10/10/2023,608,125.41,23.14,0,2.4124,950,18.9276,0.6894,0.004596,674.8912097,0.0189276,950,0.584654526,1624.89121,81.2445605,143.39122,166.7339767,6.669359068
T0,4,T0,4,10/10/2023,636,165.14,16.81,1.48,0.8752,1000,19.73,0.5019,0.003346,411.566049,0.01973,1075.012671,0.723145473,1486.57872,74.328936,186.35,216.6860465,8.66744186

