"Coord","Col","Row","group_clearsky","dist_to_center","center_group","Rep","Zone","Selected"
9.023,23,9,"1",32.4030360481174,"no",1,"Sampling","no"
9.024,24,9,"4",37.5821569012217,"no",1,"Sampling","no"
9.025,25,9,"4",36.1735422934057,"no",1,"Sampling","no"
9.026,26,9,"4",36.1334114523168,"no",1,"Sampling","no"
9.027,27,9,"2",31.2350301653809,"no",1,"Sampling","no"
9.028,28,9,"2",24.3585177118863,"no",1,"Sampling","no"
9.029,29,9,"2",19.7914577881537,"no",1,"Sampling","no"
9.03,30,9,"2",14.6659058760776,"no",1,"Sampling","selected"
9.031,31,9,"2",13.9743835307463,"no",1,"Sampling","selected"
9.032,32,9,"2",17.0754393481376,"no",1,"Sampling","selected"
9.033,33,9,"2",25.4630469040176,"no",1,"Sampling","no"
9.034,34,9,"1",31.0060192987424,"no",1,"Sampling","no"
9.038,38,9,"1",32.675944030044,"no",2,"Harvest","no"
9.039,39,9,"4",35.8045590192317,"no",2,"Harvest","no"
9.04,40,9,"4",35.3280379004511,"no",2,"Harvest","no"
9.041,41,9,"4",35.7167199559557,"no",2,"Harvest","no"
9.042,42,9,"2",31.4503802045182,"no",2,"Harvest","no"
9.043,43,9,"2",24.7460117172416,"no",2,"Harvest","no"
9.044,44,9,"2",19.2869859787193,"no",2,"Harvest","no"
9.045,45,9,"2",13.890212322136,"no",2,"Harvest","selected"
9.046,46,9,"2",12.7088560461287,"no",2,"Harvest","selected"
9.047,47,9,"2",15.2469787201963,"no",2,"Harvest","selected"
9.048,48,9,"2",23.7157926446411,"no",2,"Harvest","no"
9.049,49,9,"1",30.9716033259697,"no",2,"Harvest","no"
9.053,53,9,"1",32.2751556503569,"no",3,"Sampling","no"
9.054,54,9,"4",37.6903350876478,"no",3,"Sampling","no"
9.055,55,9,"4",36.5860978159563,"no",3,"Sampling","no"
9.056,56,9,"4",36.5898143259639,"no",3,"Sampling","no"
9.057,57,9,"2",31.228953164295,"no",3,"Sampling","no"
9.058,58,9,"2",24.2985821219582,"no",3,"Sampling","no"
9.059,59,9,"2",19.6613182211931,"no",3,"Sampling","no"
9.06,60,9,"2",14.4642251000695,"no",3,"Sampling","selected"
9.061,61,9,"2",13.7962651296895,"no",3,"Sampling","selected"
9.062,62,9,"2",17.0040541356677,"no",3,"Sampling","selected"
9.063,63,9,"2",25.25868203083,"no",3,"Sampling","no"
9.064,64,9,"1",31.0601081957378,"no",3,"Sampling","no"
9.068,68,9,"1",32.8369134240051,"no",4,"Harvest","no"
9.069,69,9,"4",35.8981453607267,"no",4,"Harvest","no"
9.07,70,9,"4",35.3504783240417,"no",4,"Harvest","no"
9.071,71,9,"4",35.8757336580468,"no",4,"Harvest","no"
9.072,72,9,"2",31.6827386488491,"no",4,"Harvest","no"
9.073,73,9,"2",25.1965609134546,"no",4,"Harvest","no"
9.074,74,9,"2",20.2244488716364,"no",4,"Harvest","no"
9.075,75,9,"2",15.1576439605566,"no",4,"Harvest","selected"
9.076,76,9,"2",14.0733818936663,"no",4,"Harvest","selected"
9.077,77,9,"2",16.4897868771601,"no",4,"Harvest","selected"
10.023,23,10,"4",32.0165193709753,"no",1,"Sampling","no"
10.024,24,10,"4",28.6211898600489,"no",1,"Sampling","no"
10.025,25,10,"4",22.0061479416363,"no",1,"Sampling","no"
10.026,26,10,"4",26.4582080311731,"no",1,"Sampling","no"
10.027,27,10,"4",28.6332886467925,"no",1,"Sampling","no"
10.028,28,10,"4",34.6928365849387,"no",1,"Sampling","no"
10.029,29,10,"2",30.7183823246012,"no",1,"Sampling","no"
10.03,30,10,"2",29.3714414039063,"no",1,"Sampling","no"
10.031,31,10,"2",31.2823237747006,"no",1,"Sampling","no"
10.032,32,10,"2",28.675365978493,"no",1,"Sampling","no"
10.033,33,10,"2",33.378298317141,"no",1,"Sampling","no"
10.034,34,10,"3",36.8228021469735,"no",1,"Sampling","no"
10.038,38,10,"4",31.9024937627376,"no",2,"Harvest","no"
10.039,39,10,"4",27.428850152439,"no",2,"Harvest","no"
10.04,40,10,"4",20.9556998382356,"no",2,"Harvest","selected"
10.041,41,10,"4",25.4648827701673,"no",2,"Harvest","no"
10.042,42,10,"4",28.6114465823694,"no",2,"Harvest","no"
10.043,43,10,"4",34.5928394339124,"no",2,"Harvest","no"
10.044,44,10,"2",30.694304338096,"no",2,"Harvest","no"
10.045,45,10,"2",28.9389114013728,"no",2,"Harvest","no"
10.046,46,10,"2",31.0371122357948,"no",2,"Harvest","no"
10.047,47,10,"2",28.973763263797,"no",2,"Harvest","no"
10.048,48,10,"2",32.2160424876726,"no",2,"Harvest","no"
10.049,49,10,"3",35.7555720943406,"no",2,"Harvest","no"
10.053,53,10,"4",32.1421865800472,"no",3,"Sampling","no"
10.054,54,10,"4",28.7259100090322,"no",3,"Sampling","no"
10.055,55,10,"4",22.3186102887638,"no",3,"Sampling","no"
10.056,56,10,"4",26.6757600176792,"no",3,"Sampling","no"
10.057,57,10,"4",28.9716816048325,"no",3,"Sampling","no"
10.058,58,10,"4",34.9555665916628,"no",3,"Sampling","no"
10.059,59,10,"2",30.6622310756575,"no",3,"Sampling","no"
10.06,60,10,"2",29.3680519178573,"no",3,"Sampling","no"
10.061,61,10,"2",31.1831805199976,"no",3,"Sampling","no"
10.062,62,10,"2",28.3675767232141,"no",3,"Sampling","no"
10.063,63,10,"2",33.5160295373406,"no",3,"Sampling","no"
10.064,64,10,"3",36.6668850711025,"no",3,"Sampling","no"
10.068,68,10,"4",31.9707590016497,"no",4,"Harvest","no"
10.069,69,10,"4",27.6413515141015,"no",4,"Harvest","no"
10.07,70,10,"4",21.3062377648277,"no",4,"Harvest","selected"
10.071,71,10,"4",25.7445593562189,"no",4,"Harvest","no"
10.072,72,10,"4",28.7948221971371,"no",4,"Harvest","no"
10.073,73,10,"4",34.5014632560367,"no",4,"Harvest","no"
10.074,74,10,"2",31.4526650353093,"no",4,"Harvest","no"
10.075,75,10,"2",29.6893386648887,"no",4,"Harvest","no"
10.076,76,10,"2",31.7014370570779,"no",4,"Harvest","no"
10.077,77,10,"2",29.4987512447529,"no",4,"Harvest","no"
11.023,23,11,"4",27.1541732844962,"no",1,"Sampling","no"
11.024,24,11,"4",21.4946956516714,"no",1,"Sampling","no"
11.025,25,11,"4",7.8739113584456,"no",1,"Sampling","selected"
11.026,26,11,"4",21.9968509399816,"no",1,"Sampling","no"
