,site,date,sensor,r_intercepted
0,total,2023-03-15 00:00:00+01:00,1,0.0
1,total,2023-03-15 00:30:00+01:00,1,0.0
2,total,2023-03-15 01:00:00+01:00,1,0.0
3,total,2023-03-15 01:30:00+01:00,1,0.0
4,total,2023-03-15 02:00:00+01:00,1,0.0
5,total,2023-03-15 02:30:00+01:00,1,0.0
6,total,2023-03-15 03:00:00+01:00,1,0.0
7,total,2023-03-15 03:30:00+01:00,1,0.0
8,total,2023-03-15 04:00:00+01:00,1,0.0
9,total,2023-03-15 04:30:00+01:00,1,0.0
10,total,2023-03-15 05:00:00+01:00,1,0.0
11,total,2023-03-15 05:30:00+01:00,1,1.4553526041666667
12,total,2023-03-15 06:00:00+01:00,1,26.37827395833333
13,total,2023-03-15 06:30:00+01:00,1,135.52975677083333
14,total,2023-03-15 07:00:00+01:00,1,377.21132031250005
15,total,2023-03-15 07:30:00+01:00,1,431.8854807291666
16,total,2023-03-15 08:00:00+01:00,1,107.66859427083335
17,total,2023-03-15 08:30:00+01:00,1,128.68605833333336
18,total,2023-03-15 09:00:00+01:00,1,134.45212864583334
19,total,2023-03-15 09:30:00+01:00,1,955.3956348958334
20,total,2023-03-15 10:00:00+01:00,1,1010.4273796874999
21,total,2023-03-15 10:30:00+01:00,1,1048.1324515625001
22,total,2023-03-15 11:00:00+01:00,1,988.0659104166667
23,total,2023-03-15 11:30:00+01:00,1,1116.3411458333333
24,total,2023-03-15 12:00:00+01:00,1,1034.1414135416667
25,total,2023-03-15 12:30:00+01:00,1,1259.9820453125
26,total,2023-03-15 13:00:00+01:00,1,875.1313208333335
27,total,2023-03-15 13:30:00+01:00,1,752.3766515625
28,total,2023-03-15 14:00:00+01:00,1,853.0494687499998
29,total,2023-03-15 14:30:00+01:00,1,360.0826421875
30,total,2023-03-15 15:00:00+01:00,1,319.54247135416665
31,total,2023-03-15 15:30:00+01:00,1,279.64391718750005
32,total,2023-03-15 16:00:00+01:00,1,207.1942885416667
33,total,2023-03-15 16:30:00+01:00,1,129.65888229166666
34,total,2023-03-15 17:00:00+01:00,1,68.6870375
35,total,2023-03-15 17:30:00+01:00,1,16.554641145833333
36,total,2023-03-15 18:00:00+01:00,1,0.0
37,total,2023-03-15 18:30:00+01:00,1,0.0
38,total,2023-03-15 19:00:00+01:00,1,0.0
39,total,2023-03-15 19:30:00+01:00,1,0.0
40,total,2023-03-15 20:00:00+01:00,1,0.0
41,total,2023-03-15 20:30:00+01:00,1,0.0
42,total,2023-03-15 21:00:00+01:00,1,0.0
43,total,2023-03-15 21:30:00+01:00,1,0.0
44,total,2023-03-15 22:00:00+01:00,1,0.0
45,total,2023-03-15 22:30:00+01:00,1,0.0
46,total,2023-03-15 23:00:00+01:00,1,0.0
47,total,2023-03-15 23:30:00+01:00,1,0.0
48,total,2023-03-16 00:00:00+01:00,1,0.0
49,total,2023-03-16 00:30:00+01:00,1,0.0
50,total,2023-03-16 01:00:00+01:00,1,0.0
51,total,2023-03-16 01:30:00+01:00,1,0.0
52,total,2023-03-16 02:00:00+01:00,1,0.0
53,total,2023-03-16 02:30:00+01:00,1,0.0
54,total,2023-03-16 03:00:00+01:00,1,0.0
55,total,2023-03-16 03:30:00+01:00,1,0.0
56,total,2023-03-16 04:00:00+01:00,1,0.0
57,total,2023-03-16 04:30:00+01:00,1,0.0
58,total,2023-03-16 05:00:00+01:00,1,0.0
59,total,2023-03-16 05:30:00+01:00,1,0.5457572916666666
60,total,2023-03-16 06:00:00+01:00,1,30.380493750000003
61,total,2023-03-16 06:30:00+01:00,1,103.14814270833334
62,total,2023-03-16 07:00:00+01:00,1,132.35609114583332
63,total,2023-03-16 07:30:00+01:00,1,241.02468489583336
64,total,2023-03-16 08:00:00+01:00,1,216.21201041666671
65,total,2023-03-16 08:30:00+01:00,1,232.61841093750002
66,total,2023-03-16 09:00:00+01:00,1,299.82997552083333
67,total,2023-03-16 09:30:00+01:00,1,719.9404395833334
68,total,2023-03-16 10:00:00+01:00,1,892.3186302083334
69,total,2023-03-16 10:30:00+01:00,1,965.4225984375001
70,total,2023-03-16 11:00:00+01:00,1,870.3713734375
71,total,2023-03-16 11:30:00+01:00,1,1055.6990942708335
72,total,2023-03-16 12:00:00+01:00,1,1070.8070437499998
73,total,2023-03-16 12:30:00+01:00,1,1007.1253458333334
74,total,2023-03-16 13:00:00+01:00,1,762.1564229166667
75,total,2023-03-16 13:30:00+01:00,1,742.9722151041666
76,total,2023-03-16 14:00:00+01:00,1,592.6642098958333
77,total,2023-03-16 14:30:00+01:00,1,609.7631776041667
78,total,2023-03-16 15:00:00+01:00,1,640.5303635416667
79,total,2023-03-16 15:30:00+01:00,1,560.7319833333333
80,total,2023-03-16 16:00:00+01:00,1,411.5167937500001
81,total,2023-03-16 16:30:00+01:00,1,140.61443020833332
82,total,2023-03-16 17:00:00+01:00,1,70.20378489583334
83,total,2023-03-16 17:30:00+01:00,1,18.555750520833335
