Time	Global	Diffuse	Temp	V05	V06	V07	V08	V09	V10	V11	V12	V13
1800	0.00	0.00	9.94	0.00	5.51	0.00	0.00	1.00	0.00	43.735	4.567	0.00
5400	0.00	0.00	9.82	0.00	5.37	0.00	0.00	1.00	0.00	43.735	4.567	0.00
9000	0.00	0.00	9.82	0.00	5.37	0.00	0.00	1.00	0.00	43.735	4.567	0.00
12600	0.00	0.00	9.65	0.00	5.19	0.00	0.00	1.00	0.00	43.735	4.567	0.00
16200	0.00	0.00	9.46	0.00	4.98	0.00	0.00	1.00	0.00	43.735	4.567	0.00
19800	0.00	0.00	9.14	0.00	4.64	0.00	0.00	1.00	0.00	43.735	4.567	0.00
23400	0.00	0.00	8.81	0.00	4.27	0.00	0.00	1.00	0.00	43.735	4.567	0.00
27000	0.00	0.00	9.12	0.00	4.61	0.00	0.00	1.00	0.00	43.735	4.567	0.00
30600	19.25	19.25	9.22	0.00	-15.18	0.00	0.00	1.00	0.00	43.735	4.567	0.00
34200	137.75	66.15	9.71	0.00	-14.64	0.00	0.00	1.00	0.00	43.735	4.567	0.00
37800	265.48	80.57	10.90	0.00	-13.35	0.00	0.00	1.00	0.00	43.735	4.567	0.00
41400	356.35	85.93	11.99	0.00	-12.16	0.00	0.00	1.00	0.00	43.735	4.567	0.00
45000	397.02	88.52	12.29	0.00	-11.84	0.00	0.00	1.00	0.00	43.735	4.567	0.00
48600	382.20	88.51	12.58	0.00	-11.51	0.00	0.00	1.00	0.00	43.735	4.567	0.00
52200	313.38	86.53	12.48	0.00	-11.62	0.00	0.00	1.00	0.00	43.735	4.567	0.00
55800	199.90	80.29	12.09	0.00	-12.05	0.00	0.00	1.00	0.00	43.735	4.567	0.00
59400	67.41	46.55	11.30	0.00	-12.92	0.00	0.00	1.00	0.00	43.735	4.567	0.00
63000	0.74	0.74	9.42	0.00	4.93	0.00	0.00	1.00	0.00	43.735	4.567	0.00
66600	0.00	0.00	8.43	0.00	3.85	0.00	0.00	1.00	0.00	43.735	4.567	0.00
70200	0.00	0.00	8.13	0.00	3.53	0.00	0.00	1.00	0.00	43.735	4.567	0.00
73800	0.00	0.00	7.93	0.00	3.31	0.00	0.00	1.00	0.00	43.735	4.567	0.00
77400	0.00	0.00	7.14	0.00	2.45	0.00	0.00	1.00	0.00	43.735	4.567	0.00
81000	0.00	0.00	9.06	0.00	4.55	0.00	0.00	1.00	0.00	43.735	4.567	0.00
84600	0.00	0.00	8.88	0.00	4.34	0.00	0.00	1.00	0.00	43.735	4.567	0.00
88200	0.00	0.00	8.74	0.00	4.20	0.00	0.00	1.00	0.00	43.735	4.567	0.00
91800	0.00	0.00	8.62	0.00	4.06	0.00	0.00	1.00	0.00	43.735	4.567	0.00
95400	0.00	0.00	8.49	0.00	3.92	0.00	0.00	1.00	0.00	43.735	4.567	0.00
99000	0.00	0.00	8.50	0.00	3.93	0.00	0.00	1.00	0.00	43.735	4.567	0.00
102600	0.00	0.00	8.60	0.00	4.04	0.00	0.00	1.00	0.00	43.735	4.567	0.00
106200	0.00	0.00	8.72	0.00	4.18	0.00	0.00	1.00	0.00	43.735	4.567	0.00
